no [2354]
wakattara [1]
wakatten [1]
wakattenai [1]
wakatterukara [1]
wakatteta [1]
wakeda [1]
wakedakara [1]
wakegawakaranai [1]
wakemashou [1]
wakenē [1]
wakenēdaro [1]
wakeshiri-gaodaga [1]
wakimaero [1]
wakuwaku [1]
wameku [1]
wan [1]
wanaidarou [1]
wanainode [1]
wanēdaro [1]
wanēga [1]
wanēkara [1]
wara [1]
warai-shada [1]
wareru [1]
wariai [1]
waridashita [1]
waru [1]
waruikedo [1]
warukunē [1]
washi-ra [1]
wasuren [1]
wasureru [1]
wasureta [1]
wasureteta [1]
watari-san [1]
wataru [1]
watasanai [1]
watashitoisshoni [1]
watatte [1]
wazadearu [1]
wazukana [1]
wazukanagara [1]
wa~tsuo [1]
wa~tsuā~tsu [1]
wwā [1]
yabbe [1]
yabuke [1]
yabure [1]
yaburou [1]
yabutte [1]
yagate [1]
yai [1]
yaita [1]
yaka [1]
yakka [1]
yakkai [1]
yakkainanoni [1]
yakudatazu [1]
yakunitatta [1]
yakunitattakara [1]
yakuwari-dōri [1]
yamai [1]
yamerudarou [1]
yane [1]
yariaeba [1]
yarikatanara [1]
yarinaose [1]
yaritakatta [1]
yarubeki [1]
yarubekida [1]
yarukara [1]
yarunahha [1]
yarunara [1]
yarō-domo [1]
yarō-me [1]
yasai [1]
yasashī [1]
yashinae [1]
yasuishi [1]
yasumu [1]
yasunde [1]
yatoinushi [1]
yatsudato [1]
yatsuradakara [1]
yattakara [1]
yattatte [1]
yatten [1]
yatterudaro [1]
yattete [1]
yattsukete [1]
yaya [1]
yo-san [1]
yoake [1]
yobenai [1]
yobou [1]
yobu [1]
yofukashi [1]
yogoshite [1]
yoi [1]
yoisho [1]
yokan [1]
yokattanoni [1]
yokattara [1]
yokattatte [1]
yokereba [1]
yokero [1]
yokeru [1]
yokkyū [1]
yokonagashi [1]
yokoshimashite [1]
yokoyari [1]
yokubukaki [1]
yokujitsu [1]
yokukike [1]
yokunen [1]
yokute [1]
yokuwakaranai [1]
yome [1]
yomi [1]
yorimichi [1]
yorokoba [1]
yoron [1]
yoroshikuonegaishimasu [1]
yoroshī [1]
yoroshīdeshou [1]
yosanu [1]
yoshite [1]
yosomono [1]
yosou [1]
yosō [1]
yotei [1]
yotei-dōri [1]
yowa [1]
yowaikara [1]
yowamushinara [1]
yubi [1]
yubiwa [1]
yudaneru [1]
yudaneyou [1]
yukkuri [1]
yukueshirezu [1]
yukō [1]
yumejanai [1]
yumenohanashi [1]
yurumi [1]
yurusarenai [1]
yurushite [1]
yuu [1]
yōde [1]
yōgi-sha [1]
yōida [1]
yōin [1]
yōja [1]
yōkide [1]
yōsei [1]
yōso [1]
yōsuda [1]
yūbe [1]
yūekina [1]
yūgaina [1]
yūgō [1]
yūjin [1]
yūjindaro [1]
yūkai-handearu [1]
yūkan [1]
yūkōna [1]
yūmeina [1]
yūnōna [1]
yūretsu [1]
yūshite [1]
yūshūde [1]
za [1]
za-gaku [1]
zamana [1]
zan [1]
zankoku [1]
zankokuda [1]
zannenda [1]
zannenna [1]
zanshinda [1]
zanzon [1]
zara [1]
zassō-darakeda [1]
zatsudandaga [1]
zatsumu [1]
zekkō [1]
zenbuda [1]
zenei-bu [1]
zenken [1]
zenpō-atari [1]
zenryoku [1]
zenryokuwotsukusu [1]
zensen [1]
zensoku [1]
zentei [1]
zerumusukī [1]
zessuru [1]
zetsubō [1]
zetsubō-teki [1]
zetsubō-tekina [1]
zoku-tachi [1]
zu [1]
zubanukete [1]
zudzuki [1]
zuibunna [1]
zura [1]
zurakaru [1]
zurakarubeki [1]
zutaboro [1]
zutazuta [1]
zuutai [1]
~-sō [1]
~tsuū [1]
~yahho [1]
~yanarantohana [1]
~yu [1]
~yuutonheidan [1]
ādarou [1]
ākkyā~ [1]
āmmitabi [1]
āmmusabori [1]
ēi [1]
īdarouga [1]
īde [1]
īkedo [1]
īkoda [1]
īte [1]
ōgakarina [1]
ōgoe [1]
ōidarou [1]
ōkami [1]
ōkata [1]
ōkattashi [1]
ōki [1]
ōki-sa [1]
ōkibo [1]
ōkikatta [1]
ōotoko [1]
ōrai [1]
ōshi [1]
ōu [1]
ōwa [1]
ō~tsu [1]
ūn [1]
ū~tsuāa [1]
̄noni [1]
̄u [1]
一調査兵団長 [1]
惚 [1]
百数十名 [1]
頰 [1]
